"Wavelength","Semrock FF01-400/40","Semrock FF01-470/28","Semrock FF01-532/18","Chroma 51000bs","pco.edge 4.2","Omicron LedHUB 405nm LED","Omicron LedHUB 475nm LED","Omicron LedHUB 530nm LED"
361,0.0000068803001,7.1967001e-8,3.8233e-7,,0.21138137619964,0.000514126778668453,0,-0.000478455120759285
362,0.0000044136,7.0629e-8,3.6617999e-7,,0.215439763916891,0.000531618153187755,0,-0.000478455120759285
363,0.0000038878002,6.9316002e-8,3.0236001e-7,,0.219436282701913,0.000528399564770521,0,-0.000478455120759285
364,0.0000071438999,1.4308e-7,2.4965999e-7,,0.223411772865796,0.000664755175586037,0,-0.000478455120759285
365,0.0000059509998,3.8144e-7,2.0614e-7,,0.22740623690183,0.000850223450235159,0,-0.000478455120759285
366,0.0000064249002,9.7555005e-7,1.4118e-7,,0.231458168021304,0.000749996135425621,0,-0.000478455120759285
367,0.0000096546,8.2154003e-7,1e-7,,0.235569327234318,0.000920059187374379,0,-0.000478455120759285
368,0.0000091817001,6.9184e-7,1e-7,,0.239705486445507,0.00107725456670833,0,-0.000478455120759285
369,0.0000080467998,5.8261998e-7,1e-7,,0.243868954962944,0.00119985866824498,0,-0.000478455120759285
370,0.000010703,4.7475001e-7,1e-7,,0.248108408092668,0.00122372286256112,0,-0.000478455120759285
371,0.0000081825001,3.6711e-7,1.1782e-7,,0.252439489739983,0.00141095081753381,0,-0.000478455120759285
372,0.0000096023005,2.8387001e-7,1.8509e-7,,0.256904906936295,0.00148666083035236,0,-0.000478455120759285
373,0.000010717,2.1951e-7,2.9078001e-7,,0.261504991021998,0.0015192793775424,0,-0.000478455120759285
374,0.000037895999,1.5048001e-7,4.5682e-7,,0.266205003966768,0.0017579108986262,0,-0.000478455120759285
375,0.00024868999,9.8790998e-8,4.5969e-7,,0.27097565410779,0.00200113957305283,0,-0.000478455120759285
376,0.00638000019999999,6.5731001e-8,3.5887001e-7,,0.275758961621222,0.00215440167594944,0,-0.000478455120759285
377,0.80760998,6.7374998e-8,2.8016001e-7,,0.28054564359846,0.00250751407112651,0,-0.000478455120759285
378,0.87111998,6.906e-8,2.1872e-7,,0.285371086298934,0.00295880264212131,0,-0.000478455120759285
379,0.90188003,7.0787003e-8,2.2002e-7,,0.290241099636874,0.0033895978706758,0,-0.000478455120759285
380,0.91123003,8.4581998e-8,2.2668e-7,,0.29510443055113,0.00421506395190863,1.35447209004269e-14,-0.000478455120759285
381,0.92078,1.2899e-7,2.3354001e-7,0.2518709897995,0.299917891798239,0.00553679623965952,0.000410000000000211,-0.000478455120759285
382,0.91986001,1.967e-7,2.2870999e-7,0.27726599574089,0.304646361952425,0.0070859876814775,0.00044000000000028,-0.000478455120759285
383,0.92883003,2.8657001e-7,1.8091001e-7,0.3094280064106,0.309326068024618,0.0092087616076244,0.000480000000000209,-0.000478455120759285
